,sg_symbol,sg_number
mp-761034,Cm,8
mp-765511,P1,1
mp-772704,P2_1/c,14
mp-767576,P2_1,4
mp-695536,P1,1
mp-764302,P2_1/c,14
mp-18059,Immm,71
mp-15614,Fd-3m,227
mp-603679,P2_1/c,14
mp-763625,R-3,148
mp-28579,C2/c,15
mp-673252,P4/mmm,123
mp-23008,P4/nmm,129
mp-18622,C2/m,12
mp-5425,P4_2/mmc,131
mp-776665,P2_1/c,14
mp-764047,Pc,7
mp-20878,Pbcm,57
mp-561205,P-1,2
mp-976425,Cmcm,63
mp-769872,Cm,8
mp-557414,Imm2,44
mp-18040,Pnma,62
mp-16964,Cmc2_1,36
mp-5729,P6_3mc,186
mp-4952,P4/mbm,127
mp-772661,Pm,6
mp-541236,P2_1/c,14
mp-11115,P2_1/m,11
mp-569084,P2_1,4
mp-22150,P4/mbm,127
mp-781601,P1,1
mp-21155,Pnma,62
mp-12442,R-3m,166
mp-27954,I4_1/amd,141
mp-9546,I-43d,220
mp-851046,C2/m,12
mp-770167,P2_1/c,14
mp-861884,Fm-3m,225
mp-553308,P6_3/mmc,194
mp-22199,C2/m,12
mp-569578,P-1,2
mp-2404,Fd-3m,227
mp-557664,Fm-3m,225
mp-770739,Pnma,62
mp-775357,P-1,2
mp-767025,P-1,2
mp-21338,R-3,148
mp-545659,Fm-3m,225
mp-761151,Pmm2,25
mp-773178,P2_1/m,11
mp-1119,Cmcm,63
mp-866651,P2_1/c,14
mp-767979,Cmcm,63
mp-10444,Ima2,46
mp-24339,P6_3/mcm,193
mp-31212,I4/mmm,139
mp-774194,P1,1
mp-27824,P-42_1m,113
mp-558469,P2_1/c,14
mp-20536,P6/mmm,191
mp-22750,R-3m,166
mp-863900,P2_12_12_1,19
mp-26327,Cc,9
mp-568598,P-42m,111
mp-759720,P-1,2
mp-6493,Pnma,62
mp-28939,I4/mmm,139
mp-30997,P2_1/c,14
mp-752606,I-42m,121
mp-25092,C2/m,12
mp-540735,Fm-3m,225
mp-4300,C2/m,12
mp-983425,Fm-3m,225
mp-762807,P6_3,173
mp-6643,Pnma,62
mp-759587,C2/c,15
mp-977224,Pm-3m,221
mp-779212,P1,1
mp-550820,R-3m,166
mp-565509,C2/c,15
mp-626727,P2_1,4
mp-841,P6_3/mmc,194
mp-763857,P1,1
mp-532294,P3m1,156
mp-755878,P1,1
mp-561884,P2_1/c,14
mp-38307,Imma,74
mp-976257,C2/m,12
mp-2044,P6_3/mcm,193
mp-757,P6_3/mmc,194
mp-761827,P4_2/mnm,136
mp-761315,P2/c,13
mp-23140,P2_12_12_1,19
mp-600369,P2_1,4
mp-6255,Ia-3d,230
mp-8932,Ibam,72
mp-9986,I4/mmm,139
mp-753593,C2/m,12
mp-27723,P2_1/m,11
mp-780117,P1,1
mp-776424,P2_1/c,14
mp-754414,Pnma,62
mp-631390,F-43m,216
mp-22405,Pnnm,58
mp-759624,P2_1/c,14
mp-777148,Cm,8
mp-762456,Cm,8
mp-771587,Cm,8
mp-601871,P2_1/c,14
mp-20154,P4_2/m,84
mp-2412,Pna2_1,33
mp-554397,Pcca,54
mp-763717,P-1,2
mp-684673,Fm-3m,225
mp-542178,R-3m,166
mp-763004,P2_1/c,14
mp-864891,P-1,2
mp-29959,Cc,9
mp-542221,P-1,2
mp-643727,Pnma,62
mp-761943,P1,1
mp-765294,P-1,2
mp-566768,Pbcm,57
mp-770714,Pnma,62
mp-685943,Cm,8
mp-853191,Fd-3,203
mp-29819,P-62m,189
mp-694012,Pm,6
mp-974068,I4/mmm,139
mp-757082,C2/c,15
mp-8354,P6_3/mmc,194
mp-764561,Cm,8
mp-551135,C2,5
mp-754474,P4/nmm,129
mp-20396,P4/mmm,123
mp-7523,I4/mmm,139
mp-772480,P2_1/m,11
mp-30443,Im-3,204
mp-780751,P-1,2
mp-19207,P2_1/c,14
mp-556262,P-1,2
mp-755405,Pnma,62
mp-2500,C2/m,12
mp-557880,P2_1/c,14
mp-540829,P2_1/c,14
mp-628819,Fm-3m,225
mp-10621,P-1,2
mp-715553,P1,1
mp-760381,F-43m,216
mp-11453,P6_3/mmc,194
mp-982045,Pbam,55
mp-12675,P4/mmm,123
mp-761746,P2_1,4
mp-28100,I222,23
mp-772417,Cm,8
mp-29269,P2_1/c,14
mp-640859,Im-3,204
mp-559648,Pnma,62
mp-752395,P4_32_12,96
mp-32124,P2_1,4
mp-780479,P1,1
mp-552966,P-4,81
mp-12710,P-62m,189
mp-540612,Immm,71
mp-17160,P2_1/c,14
mp-28040,P-43m,215
mp-644418,C2/m,12
mp-3204,Pnma,62
mp-541487,P-3m1,164
mp-19315,P2_1/c,14
mp-754214,I4_1/a,88
mp-19866,Pnma,62
mp-868381,P2_1/m,11
mp-625815,P2_1/c,14
mp-4356,Im-3,204
mp-763587,Cm,8
mp-773219,C2/c,15
mp-972285,I4/mmm,139
mp-775235,Cmce,64
mp-8960,R-3c,167
mp-15237,Pbam,55
mp-770473,Pnma,62
mp-17123,Cmce,64
mp-30325,Pc,7
mp-771986,R-3m,166
mp-680683,P222_1,17
mp-616204,Pna2_1,33
mp-5746,Pbcn,60
mp-579904,Pna2_1,33
mp-767445,P1,1
mp-14721,Pna2_1,33
mp-776672,Cm,8
mp-17662,Cmce,64
mp-10078,I4/mmm,139
mp-767677,C2/m,12
mp-777254,Pnma,62
mp-568155,P6_3mc,186
mp-22965,P3m1,156
mp-17525,P6_3/mcm,193
mp-703380,Pbca,61
mp-560666,Pbca,61
mp-675266,C2/m,12
mp-6326,P6_422,181
mp-765715,P1,1
mp-20289,R-3m,166
mp-760773,P1,1
mp-25769,P2_1/c,14
mp-25787,Ia-3,206
mp-36100,I-42d,122
mp-743588,P-1,2
mp-850443,P1,1
mp-795,I4_1/a,88
mp-19487,P2_1/c,14
mp-772388,Cm,8
mp-997530,P2_1/m,11
mp-777605,P2/m,10
mp-761325,I-42m,121
mp-31688,Pna2_1,33
mp-3650,C2/m,12
mp-763685,Pc,7
mp-780741,P1,1
mp-20626,P4/nmm,129
mp-29372,Pnma,62
mp-556588,P1,1
mp-638442,R-3m,166
mp-556297,P2_1/c,14
mp-772382,P1,1
mp-17412,Pnma,62
mp-676443,I-4,82
mp-782701,C2/m,12
mp-20847,P6_3/mcm,193
mp-780565,Fd-3,203
mp-25494,P2_1/c,14
mp-558155,Cmcm,63
mp-764059,P-1,2
mp-556417,Fm-3m,225
mp-39288,F-43m,216
mp-765837,P1,1
mp-767598,P2_1/c,14
mp-753544,C2/c,15
mp-557733,P312,149
mp-32003,C2/c,15
mp-555288,P2_1/c,14
mp-5058,I-42d,122
mp-542785,P2_1/c,14
mp-645291,P6_3/m,176
mp-19870,Pm-3m,221
mp-697085,I4_1/amd,141
mp-759763,P1,1
mp-759441,P2_1/c,14
mp-541818,P-1,2
mp-775166,P1,1
mp-22170,Cmcm,63
mp-19522,Pnma,62
mp-540610,Pbam,55
mp-570848,P2_1/c,14
mp-699253,P2_1/c,14
mp-9716,R-3c,167
mp-29592,P-1,2
mp-37995,R-3m,166
mp-763939,P-1,2
mp-779088,P1,1
mp-19509,Cmce,64
mp-667373,Pmna,53
mp-693753,P1,1
mp-19811,P-62m,189
mp-3077,I4_1md,109
mp-3926,Pc,7
mp-769889,P2/c,13
mp-27337,Cmcm,63
mp-32527,C2/c,15
mp-755804,R-3,148
mp-979614,P6_3/mmc,194
mp-774332,P2_1/c,14
mp-766732,Cc,9
mp-770935,P2_1,4
mp-11011,P4/nbm,125
mp-31766,Pbcn,60
mp-560528,I4_1/amd,141
mp-765720,I4/mmm,139
mp-542189,P1,1
mp-776063,Pnma,62
mp-7564,P6_3/m,176
mp-625109,Pc,7
mp-626631,P2_1,4
mp-650442,P2_1/c,14
mp-14447,P2_1/m,11
mp-6299,P2_13,198
mp-4828,Fm-3m,225
mp-771834,Pnma,62
mp-2349,Cmcm,63
mp-753953,P2_1/c,14
mp-753181,Pmmn,59
mp-768740,P2_1/m,11
mp-774950,P1,1
mp-776184,Cm,8
mp-561117,Pbca,61
mp-37722,P4_2/nmc,137
mp-756708,Pnma,62
mp-733598,P2_1/c,14
mp-768022,P-1,2
mp-639705,I4_1/amd,141
mp-566059,P-1,2
mp-636598,P2_1/c,14
mp-767215,Cc,9
mp-643793,P2_1/c,14
mp-979424,Fm-3m,225
mp-849347,P-1,2
mp-21854,Pm-3m,221
mp-761447,R3,146
mp-4955,Fm-3m,225
mp-561256,Cc,9
mp-773446,P-1,2
mp-767901,P2_1/c,14
mp-18837,P-3m1,164
mp-11085,Pnma,62
mp-28251,C2/c,15
mp-675893,I4_1/amd,141
mp-779988,Amm2,38
mp-29521,C2/c,15
mp-771028,P2_1/m,11
mp-769659,P1,1
mp-22919,Fm-3m,225
mp-7644,I4_1/amd,141
mp-1773,P6_3/mmc,194
mp-9702,P6_3/mmc,194
mp-723109,Pnma,62
mp-780193,P2_12_12_1,19
mp-763968,P1,1
mp-765441,R3m,160
mp-11620,P-3m1,164
mp-675336,P-4,81
mp-675219,C2/m,12
mp-20242,P4/nmm,129
mp-773604,P2_1/c,14
mp-866267,C2/m,12
mp-7377,Immm,71
mp-570838,P2_1,4
mp-849087,P1,1
mp-558087,P-1,2
mp-973320,Imm2,44
mp-13052,I4/mcm,140
mp-559289,C2/c,15
mp-770333,P1,1
mp-767577,C2/c,15
mp-674993,Pna2_1,33
mp-31232,P-1,2
mp-18468,Cmcm,63
mp-541467,P2_1/c,14
mp-12910,Cmcm,63
mp-6248,C2/c,15
mp-4559,R3m,160
mp-22247,Pnma,62
mp-19881,Pm-3m,221
mp-754658,Pnna,52
mp-22399,P2_1/c,14
mp-560501,P6_3,173
mp-20131,Pm-3m,221
mp-677039,C2/c,15
mp-569411,P6_3/mcm,193
mp-9732,P-62m,189
mp-569321,P-31m,162
mp-19955,Pmma,51
mp-7664,P6_3mc,186
mp-29424,Pbam,55
mp-8234,P-42_1m,113
mp-625823,P2_12_12_1,19
mp-23089,Cmc2_1,36
mp-571526,P2_1/c,14
mp-359,P-3c1,165
mp-570021,P31c,159
mp-849688,C2/m,12
mp-541568,Pnnm,58
mp-771442,P-1,2
mp-18809,P4/nmm,129
mp-779108,Pbcm,57
mp-24201,Fm-3m,225
mp-766943,P1,1
mp-560058,P-3c1,165
mp-775129,Pbcn,60
mp-744631,P2_12_12_1,19
mp-650841,R3c,161
mp-38089,Cm,8
mp-694981,P-43n,218
mp-8387,R-3,148
mp-851038,P2_1,4
mp-975812,I4/mmm,139
mp-757796,P2_1/c,14
mp-541352,P-1,2
mp-781965,P1,1
mp-13590,P-43m,215
mp-763837,Pna2_1,33
mp-763671,P-1,2
mp-768695,P2_1,4
mp-763873,P2_1/c,14
mp-744024,C2/c,15
mp-853261,P1,1
mp-10070,P2_12_12_1,19
mp-10630,Fm-3m,225
mp-23958,P2/c,13
mp-27657,P2_1/c,14
mp-568400,P6_3mc,186
mp-600217,Pbca,61
mp-560128,P2_1/c,14
mp-14817,P2_1/c,14
mp-10336,Cmcm,63
mp-866606,P2_1/c,14
mp-31073,P-1,2
mp-699284,Imma,74
mp-22449,P-31c,163
mp-19768,P4/nmm,129
mp-17854,Pnma,62
mp-12011,P2_1,4
mp-569814,Pa-3,205
mp-16609,P-4c2,116
mp-8860,Fm-3m,225
mp-625557,P3m1,156
mp-755455,P2/m,10
mp-559860,Ccce,68
mp-686909,P2_1/c,14
mp-867590,Pnma,62
mp-700,Pnma,62
mp-9985,Cmcm,63
mp-770682,P-1,2
mp-573114,P6_3,173
mp-722315,Pna2_1,33
mp-611630,P1,1
mp-763417,Pmn2_1,31
mp-13061,P-3m1,164
mp-743614,Pmn2_1,31
mp-707478,P2_1/c,14
mp-755462,Pnma,62
mp-778341,P1,1
mp-18168,P2_1,4
mp-776658,Cmcm,63
mp-770728,P2,3
mp-10446,P-62m,189
mp-22854,P2_1/m,11
mp-541868,Cmc2_1,36
mp-20294,P4/mmm,123
mp-510367,P2_1/c,14
mp-654105,I-42d,122
mp-12023,Pmn2_1,31
mp-707324,Pbca,61
mp-11114,P2_1/m,11
mp-686764,P6_3/mcm,193
mp-773273,R-3m,166
mp-16961,C2/c,15
mp-30224,Pnma,62
mp-565194,P2_1/c,14
mp-554238,Cmcm,63
mp-850763,P2_1/c,14
mp-626062,P-1,2
mp-27453,R3,146
mp-566146,P-1,2
mp-6949,R-3c,167
mp-34913,I-4,82
mp-27226,Pmmn,59
mp-6912,P6_3/mmc,194
mp-6485,P6_3,173
mp-770496,P-1,2
mp-753357,P1,1
mp-686697,P1,1
mp-714931,P-1,2
mp-675169,P-1,2
mp-567084,R3,146
mp-1434,R3m,160
mp-1029,Fm-3m,225
mp-30641,Fm-3m,225
mp-10861,P6/mmm,191
mp-764761,P1,1
mp-31510,P2_1/m,11
mp-583072,P2_1/c,14
mp-505785,P2_12_12_1,19
mp-28549,P6_3cm,185
mp-669445,P-1,2
mp-22325,P-1,2
mp-775179,Pm,6
mp-28877,Pnma,62
mp-556726,P2_1/m,11
mp-19139,P6_3mc,186
mp-705906,R-3c,167
mp-672187,P4/mbm,127
mp-849938,Pc,7
mp-762472,P1,1
mp-29236,P2_1/c,14
mp-769854,P2_1/m,11
mp-754462,P-1,2
mp-770638,P2_1/c,14
mp-686585,Pm,6
mp-863858,P-3c1,165
mp-984586,I4/mmm,139
mp-705452,Pc,7
mp-849532,P1,1
mp-549869,I-42m,121
mp-22779,P-62m,189
mp-777855,P1,1
mp-625268,Pna2_1,33
mp-38695,I4_1/amd,141
mp-37267,P-6,174
mp-32880,I-4m2,119
mp-15783,R-3m,166
mp-27892,C2/c,15
mp-761527,P1,1
mp-755393,P2_1/m,11
mp-32884,P1,1
mp-770604,P2_1/c,14
mp-757674,P2,3
mp-557343,Cm,8
mp-2143,Fm-3m,225
mp-773197,C2/c,15
mp-505539,Pnma,62
mp-850098,Pm,6
mp-771184,Cm,8
mp-24927,R3m,160
mp-28135,Pnma,62
mp-853150,Cmmm,65
mp-868620,C2,5
mp-7068,Immm,71
mp-566626,P2_1,4
mp-625788,P1,1
mp-530709,Pnnn,48
mp-510219,I4/mcm,140
mp-28511,Cmmm,65
mp-973414,Fm-3m,225
mp-12648,R-3m,166
mp-28219,Pnma,62
mp-973316,P6_3/mmc,194
mp-779799,P1,1
mp-32022,P2_1/c,14
mp-7404,P2/c,13
mp-760060,Pbca,61
mp-775331,P-1,2
mp-31125,Ibam,72
mp-554025,R-3,148
mp-762457,P-1,2
mp-974058,Fm-3m,225
mp-781501,P2_1,4
mp-672237,Pbcm,57
mp-30459,F-43m,216
mp-778646,P1,1
mp-696,Pnma,62
mp-21273,P4/nmm,129
mp-775622,R-3m,166
mp-6160,Pnma,62
mp-34787,R3m,160
mp-774926,P2_1/c,14
mp-646522,Pnma,62
mp-778573,Cmmm,65
mp-754388,P2_1/c,14
mp-6957,I4/mmm,139
mp-863866,Cc,9
mp-13002,P6_3mc,186
mp-743870,P-1,2
mp-779786,C2,5
mp-4591,P2_1/c,14
mp-7640,Fd-3m,227
mp-29736,Cmcm,63
mp-505012,P-1,2
mp-32861,P2_1/c,14
mp-613989,P2_1/m,11
mp-849760,Ama2,40
mp-651707,C2/c,15
mp-735556,C2/c,15
mp-766988,P-1,2
mp-756683,P-1,2
mp-653763,Cmme,67
mp-557001,P-1,2
mp-16402,P2_1/c,14
mp-28224,C2/m,12
mp-5026,Pbcn,60
mp-622640,C2/c,15
mp-677244,C2/m,12
mp-890,Fd-3m,227
mp-558660,Pnma,62
mp-5388,P4_2/mbc,135
mp-669466,P2_12_12_1,19
mp-15728,Pcca,54
mp-558628,Pnma,62
mp-10454,I4/mmm,139
mp-540927,P-1,2
mp-776502,P1,1
mp-978543,Fm-3m,225
mp-676556,Pmm2,25
mp-754967,Pbcn,60
mp-31735,P2_1/c,14
mp-31434,Pm-3m,221
mp-763451,C222_1,20
mp-28955,P6_3/mmc,194
mp-768423,P2_1/c,14
mp-30389,F-43m,216
mp-541545,P2_1/c,14
mp-541361,Pnma,62
mp-774229,Pbam,55
mp-782001,Cm,8
mp-697814,P2_1/c,14
mp-19549,Ia-3d,230
mp-764231,P1,1
mp-777898,P2_1/c,14
mp-30107,Pmma,51
mp-762767,P2/m,10
mp-28671,C2/m,12
mp-980005,Fm-3m,225
mp-4825,P-43n,218
mp-756118,Pnma,62
mp-9607,Pnma,62
mp-556689,P-1,2
mp-971706,Pm-3m,221
mp-774193,P2_12_12_1,19
mp-561200,P2_1/c,14
mp-675425,P1,1
mp-23255,P6_3/m,176
mp-18515,I4/m,87
mp-868118,P4/mmm,123
mp-771556,Pnma,62
mp-768291,P4_2/mnm,136
mp-683925,Pca2_1,29
mp-862754,Pna2_1,33
mp-504627,P4/mnc,128
mp-850175,P-1,2
mp-554988,P2_1/c,14
mp-775109,R-3m,166
mp-697339,P2_1/c,14
mp-850154,P-1,2
mp-648,Fm-3m,225
mp-767419,Pnna,52
mp-973535,Fm-3m,225
mp-767169,Cmc2_1,36
mp-571371,C2/c,15
mp-762399,C2/c,15
mp-758894,P2,3
mp-569613,P2_1/m,11
mp-10821,Pnma,62
mp-571582,Pbcm,57
mp-542681,Fd-3m,227
mp-983235,P6_3/mmc,194
mp-766204,P2_1/c,14
mp-19344,C2/m,12
mp-556615,P-1,2
mp-674187,R3,146
mp-778256,P2_1/c,14
mp-30564,Cmcm,63
mp-22450,C2/c,15
mp-561551,P2_1/m,11
mp-570363,I4_1/a,88
mp-21446,R-3m,166
mp-763648,P-1,2
mp-686836,P1,1
mp-11227,Im-3,204
mp-6799,Im-3m,229
mp-23710,P4_2/mnm,136
mp-780238,Pc,7
mp-16116,Cmcm,63
mp-568306,C2/m,12
mp-19683,Pbca,61
mp-766540,Pnma,62
mp-733998,P2_1/c,14
mp-672290,P6_3/mmc,194
mp-775145,Cm,8
mp-772840,P4_12_12,92
mp-769711,P1,1
mp-542493,P4/mbm,127
mp-568964,P6_3/mcm,193
mp-767692,Cc,9
mp-26172,P-1,2
mp-762589,P2_1,4
mp-559585,P2_1/c,14
mp-690548,Cc,9
mp-775516,Pm,6
mp-753021,Cm,8
mp-643246,P2_13,198
mp-27278,Pccn,56
mp-707926,Cmcm,63
mp-641069,P6_3/mcm,193
mp-571090,Fd-3m,227
mp-31993,C2/c,15
mp-754262,C2/m,12
mp-770490,P2_1/c,14
mp-980108,P2_1/c,14
mp-707391,P2_12_12_1,19
mp-765684,Cm,8
mp-868279,R-3,148
mp-975109,P6_3/mmc,194
mp-556044,P-31c,163
mp-562,Pa-3,205
mp-779307,P-1,2
mp-698170,Cc,9
mp-778103,Pccn,56
mp-2271,Fd-3m,227
mp-31115,Cmc2_1,36
mp-675083,Imma,74
mp-637436,P4/nmm,129
mp-34783,Imma,74
mp-769605,P-1,2
mp-20685,Pm-3n,223
mp-560818,Pnma,62
mp-765446,Cc,9
mp-29778,C222_1,20
mp-781476,P1,1
mp-1062,Pm-3m,221
mp-601867,P2_1/c,14
mp-619661,Pnma,62
mp-769438,Pna2_1,33
mp-770608,P4_332,212
mp-975997,Fm-3m,225
mp-647604,P4/nmm,129
mp-555939,Pccn,56
mp-651268,P-4m2,115
mp-758944,P2_1/c,14
mp-28089,I-42d,122
mp-542116,P-3m1,164
mp-542623,C2/m,12
mp-14506,R32,155
mp-31992,Pc,7
mp-972202,I4/mmm,139
mp-555838,P2_1/c,14
mp-771132,P-1,2
mp-5841,P4/mmm,123
mp-555750,Pbam,55
mp-760467,P-1,2
mp-5637,Pnma,62
mp-20304,Pnnm,58
mp-780436,P1,1
mp-569094,Pnma,62
mp-794,P6_3/mmc,194
mp-636380,C2/c,15
mp-17823,P-1,2
mp-781712,P2_12_12_1,19
mp-616653,P2_1/c,14
mp-559423,Pca2_1,29
mp-569153,Pbcm,57
mp-754217,P4/nmm,129
mp-557352,Pna2_1,33
mp-25552,P-1,2
mp-757504,P1,1
mp-6080,I4/mcm,140
mp-769873,P1,1
mp-23872,C2/c,15
mp-771221,C2/m,12
mp-15740,P2_1/c,14
mp-867329,C2,5
mp-553981,P2_1/c,14
mp-17272,C2/m,12
mp-559918,R-3m,166
mp-6356,Pmn2_1,31
mp-7113,R-3m,166
mp-773467,R-3m,166
mp-554649,P2_1/c,14
mp-767415,P2_1,4
mp-767783,P2_1/c,14
mp-773725,P1,1
mp-571387,Pmma,51
mp-29991,P2_12_12_1,19
mp-767134,P2_1/c,14
mp-696806,C2/c,15
mp-25791,Pnma,62
mp-706611,Pca2_1,29
mp-6764,Pbcn,60
mp-771844,R-3m,166
mp-762805,P2_1,4
mp-715436,R-3m,166
mp-772422,Fd-3,203
mp-761338,Pna2_1,33
mp-756979,Pnma,62
mp-770894,Pnma,62
mp-634802,C2/m,12
mp-772638,P2_12_12_1,19
mp-2387,I4/mcm,140
mp-771990,P-1,2
mp-555132,P-1,2
mp-779551,P2_12_12_1,19
mp-777906,P2_1/c,14
mp-557451,P2_1/c,14
mp-973977,Pm-3m,221
mp-640389,P-1,2
mp-779266,Pc,7
mp-24391,P-1,2
mp-771416,P1,1
mp-40186,Pc,7
mp-18922,C2/m,12
mp-773308,I-4m2,119
mp-764587,P1,1
mp-1580,Fm-3m,225
mp-684989,R32,155
mp-705019,Pc,7
mp-753737,Pbcn,60
mp-766196,R3,146
mp-558329,P2_1/c,14
mp-690561,C2/m,12
mp-757966,C2/m,12
mp-752989,R-3,148
mp-721161,Pmn2_1,31
mp-6880,P4/mnc,128
mp-774537,R-3c,167
mp-560354,Pmmn,59
mp-631525,F-43m,216
mp-3992,P4/nmm,129
mp-561511,P2_1/c,14
mp-770910,P2_1/c,14
mp-673807,P-6,174
mp-782698,I-4m2,119
mp-757917,P3_2,145
mp-645541,Pccn,56
mp-775208,C2/m,12
mp-758784,P1,1
mp-773256,C2/m,12
mp-780176,P1,1
mp-10731,Fm-3m,225
mp-10341,P312,149
mp-4016,C2/c,15
mp-27850,Pmmn,59
mp-19644,C2/m,12
mp-569752,Cmcm,63
mp-782704,P2/m,10
mp-763701,Imma,74
mp-16623,R-3c,167
mp-568228,I-4,82
mp-706653,Pnma,62
mp-560891,P-1,2
mp-630976,P4_2/mnm,136
mp-685155,R-3,148
mp-763308,P1,1
mp-558658,P6_3/mmc,194
mp-767313,P2_1,4
mp-24456,P2_1,4
mp-755881,Cm,8
mp-559160,P2_1/c,14
mp-779026,P1,1
mp-690526,C2/c,15
mp-4997,P4/nmm,129
mp-31905,P-3c1,165
mp-850074,P4_2/mnm,136
mp-15438,P2_1/c,14
mp-761324,Imma,74
mp-771554,R3m,160
mp-2076,P-3m1,164
mp-768068,C2/m,12
mp-10699,Pm-3m,221
mp-3887,Ia-3,206
mp-759207,P1,1
mp-1926,Fd-3m,227
mp-558548,Pnma,62
mp-767326,P2_1,4
mp-558121,Ibam,72
mp-29153,P2_1/m,11
mp-763379,Pbcm,57
mp-764430,P-31m,162
mp-645182,Pnma,62
mp-709069,P2_1/c,14
mp-568436,Pbcn,60
mp-775040,I-4m2,119
mp-770897,P-1,2
mp-774366,Pm,6
mp-762421,P1,1
mp-1082,Pm-3m,221
mp-20835,P-62m,189
mp-20796,Pm-3m,221
mp-759870,Pbca,61
mp-971739,Fm-3m,225
mp-8885,Pnma,62
mp-770646,P2_1/m,11
mp-765103,P1,1
mp-850516,P2_1/c,14
mp-8399,Pm-3m,221
mp-767751,P1,1
mp-566334,P2_1/c,14
mp-568135,I4_1/amd,141
mp-556865,C2,5
mp-571490,C2/c,15
mp-767160,C2/m,12
mp-555313,Cc,9
mp-762754,C2/m,12
mp-779863,P1,1
mp-2309,P2_1/m,11
mp-753946,P-3m1,164
mp-774043,P1,1
mp-555393,Ia-3d,230
mp-752442,Pnma,62
mp-24668,I4/mcm,140
mp-704577,C2/c,15
mp-720417,P-1,2
mp-28211,P2_1/c,14
mp-559766,C2/m,12
mp-11887,P-1,2
mp-672176,Pca2_1,29
mp-565443,R-3m,166
mp-30526,Pm-3,200
mp-850529,P2_1/c,14
mp-31635,P2_1/m,11
mp-24566,P2_1/c,14
mp-554631,P2_1/c,14
mp-556223,Pnma,62
mp-849271,Pnma,62
mp-30754,P-62m,189
mp-631674,F-43m,216
mp-558480,C2/c,15
mp-867601,C2/m,12
mp-675857,Imma,74
mp-4851,P2_1/c,14
mp-15649,P2_1/c,14
mp-769965,Cc,9
mp-560412,P2_1/c,14
mp-743857,P1,1
mp-28737,Cmcm,63
mp-773770,P2_1/c,14
mp-6613,Fm-3m,225
mp-757376,Cmcm,63
mp-781753,P-1,2
mp-21477,I4/mmm,139
mp-13100,Pm-3m,221
mp-972180,Fm-3m,225
mp-766728,Pbca,61
mp-765667,P-1,2
mp-762613,P2_1/c,14
mp-779966,P1,1
mp-541412,P2_1/c,14
mp-634113,C2/c,15
mp-39033,I-42d,122
mp-779899,C2/m,12
mp-772482,Cm,8
mp-761087,Fd-3m,227
mp-542939,P6_3/mmc,194
mp-626222,Pnma,62
mp-1922,Pa-3,205
mp-754031,R-3m,166
mp-761349,Pnma,62
mp-560265,P6_522,179
mp-19946,Fm-3m,225
mp-25662,I-42d,122
mp-2139,Pnma,62
mp-20920,Pm-3m,221
mp-561189,P-62m,189
mp-20083,Pnma,62
mp-5363,Pna2_1,33
mp-773234,P-1,2
mp-5473,Pnma,62
mp-625501,P1,1
mp-568203,P2_1/c,14
mp-10356,Pm-3m,221
mp-772533,Pnna,52
mp-554702,C2/m,12
mp-14276,P2_1/c,14
mp-772488,P2_1/c,14
mp-560331,Pbca,61
mp-556521,P2_1/c,14
mp-25087,C2/c,15
mp-676050,P1,1
mp-566386,P-1,2
mp-696403,Pnma,62
mp-7972,R-3m,166
mp-684935,P3m1,156
mp-19019,P2/c,13
mp-975821,P6_3/mmc,194
mp-566863,P-1,2
mp-8033,P6_3/mmc,194
mp-776747,R3,146
mp-11288,P4/mbm,127
mp-540586,Pnma,62
mp-754224,P4_2/mnm,136
mp-625321,Fmm2,42
mp-22337,P6_3/mcm,193
mp-8818,I4/mmm,139
mp-569826,P2_1/c,14
mp-697742,P-1,2
mp-672706,Pnma,62
mp-770569,Cmcm,63
mp-771357,Pbcn,60
mp-631427,F-43m,216
mp-10281,P6_3mc,186
mp-9873,P6_3/mmc,194
mp-18731,Cmcm,63
mp-542833,C2/c,15
mp-752450,Ia-3,206
mp-38103,I-42m,121
mp-759766,P1,1
mp-29221,Pnma,62
mp-686747,C2,5
mp-557863,P2_1/c,14
mp-31857,Cmcm,63
mp-505599,F-43m,216
mp-22604,R-3,148
mp-983539,Pm-3m,221
mp-720205,P1,1
mp-2116,Fd-3m,227
mp-570141,I4_1/amd,141
mp-761329,P-1,2
mp-182,P6/mmm,191
mp-770234,P-1,2
mp-768931,Cmc2_1,36
mp-36733,I-42d,122
mp-29619,I4/mmm,139
mp-23520,I4/mcm,140
mp-15308,P6_3/m,176
mp-19103,P2_1,4
mp-28067,P4/nmm,129
mp-22673,Fm-3m,225
mp-754165,P6_3/mmc,194
mp-768024,P2_1/c,14
mp-560352,C2/m,12
mp-982244,P6_3/mmc,194
mp-569066,Fm-3m,225
mp-560806,P6_3mc,186
mp-771727,P1,1
mp-743649,C2/c,15
mp-651161,Pna2_1,33
mp-8176,R-3m,166
mp-770696,P-1,2
mp-695237,P-1,2
mp-505807,P6/mmm,191
mp-677392,P-4m2,115
mp-561074,P-1,2
mp-676611,Pm,6
mp-779226,Cm,8
mp-762703,Pna2_1,33
mp-753806,P-1,2
mp-4703,I4/mmm,139
mp-770246,C2/c,15
mp-30584,Imma,74
mp-616240,P2_1/c,14
mp-18614,P4_2/mnm,136
mp-24912,Pnma,62
mp-20624,P-62m,189
mp-22992,Pmmn,59
mp-12455,Pnma,62
mp-37478,I-4,82
mp-504820,Pnma,62
mp-27228,P-3,147
mp-772243,Cmmm,65
mp-556143,Ia-3d,230
